Input.turn_id,Input.query,Answer.broadness.option_1,Answer.broadness.option_2,Answer.broadness.option_3,Answer.broadness.option_4,Answer.broadness.option_5,"Answer,broadness,avg",Answer.controversy.option_1,Answer.controversy.option_2,Answer.controversy.option_3,Answer.controversy.option_4,Answer.controversy.option_5,"Answer,controversy,avg",Scores avg
137_1-5,What do other philosophers think about Bostrom's 'simulation argument'?,0,1,0,2,2,"4,0",0,0,0,0,5,"5,0","4,5"
105_6,What was the US reaction to the Black Lives Matter movement?,0,2,2,0,1,"3,0",0,0,0,1,4,"4,8","3,9"
102_8,Can social security be fixed?,0,0,3,1,1,"3,6",0,0,0,2,3,"4,6","4,1"
105_9,What else motivates the Black Lives Matter movement?,0,0,3,2,0,"3,4",0,0,0,2,3,"4,6","4,0"
149_2-5,Are algorithms really biased against people of colour,0,2,2,0,1,"3,0",0,0,0,2,3,"4,6","3,8"
147_2-5,Is it really the case that diversity is to blame for Marvel’s dwindling sales?,1,1,3,0,0,"2,4",0,0,1,0,4,"4,6","3,5"
105_7,Tell me more about the Blue Lives Matter movement.,0,1,1,3,0,"3,4",0,0,1,1,3,"4,4","3,9"
132_3-1,Why did President Trump intend to withdraw the US from the Paris Agreement?,2,2,1,0,0,"1,8",0,1,0,0,4,"4,4","3,1"
98_4,What are the benefits of being vegetarian to the environment?,0,1,2,0,2,"3,6",0,0,1,2,2,"4,2","3,9"
137_1-7,How would we know that we are living in a simulation?,0,1,2,0,2,"3,6",0,0,1,2,2,"4,2","3,9"
98_1,What is the environmental cost of food production?,0,1,1,2,1,"3,6",0,0,0,4,1,"4,2","3,9"
136_1-13,What effects did the Watergate scandal have on President Nixon's legacy?,0,1,3,0,1,"3,2",0,0,1,2,2,"4,2","3,7"
149_2-1,"Yes, in what ways can search engines be biased racially?",0,2,2,0,1,"3,0",0,0,1,2,2,"4,2","3,6"
138_1-9,Do you think social media might play a role in my son's low self-esteem?,0,2,2,0,1,"3,0",0,0,2,0,3,"4,2","3,6"
137_1-3,Which of Bostrom's 'simulation argument' trilemma is most likely?,2,1,1,1,0,"2,2",0,0,1,2,2,"4,2","3,2"
149_1-1,Are search engines biased?,0,0,1,1,3,"4,4",0,0,1,3,1,"4,0","4,2"
136_1-11,What effects did the Watergate scandal have on US politics?,0,0,2,2,1,"3,8",0,0,2,1,2,"4,0","3,9"
91_7,What do users of social networks get in return for by giving up their privacy?,0,1,1,2,1,"3,6",0,0,2,1,2,"4,0","3,8"
147_2-1,What is Marvel Studios’ approach to diversity for people of color?,0,2,0,2,1,"3,4",0,0,2,1,2,"4,0","3,7"
149_1-5,"Yes, in what ways can search engines be biased ideologically?",0,2,1,1,1,"3,2",0,0,1,3,1,"4,0","3,6"
102_7,Wow! What will happen if social security runs out of money?,0,1,2,2,0,"3,2",0,0,2,1,2,"4,0","3,6"
82_2,What are the pros and cons of GMO food labeling?,0,0,4,1,0,"3,2",0,1,1,0,3,"4,0","3,6"
132_3-3,How did other parties to the Paris Agreement feel about Trump’s intention of withdrawing the US from it?,2,2,0,1,0,"2,0",0,1,1,0,3,"4,0","3,0"
102_9,How much of a tax increase will keep social security solvent?,1,4,0,0,0,"1,8",0,0,2,1,2,"4,0","2,9"
132_2-1,That’s interesting. Tell me more about how climate change affects developing countries.,0,0,2,1,2,"4,0",1,0,0,2,2,"3,8","3,9"
102_6,When will social security run out of money?,1,0,2,0,2,"3,4",1,0,0,2,2,"3,8","3,6"
98_5,Are there any health concerns of being vegetarian?,1,2,0,0,2,"3,0",0,1,1,1,2,"3,8","3,4"
82_3,What are the cons of GMO food labeling?,0,3,1,1,0,"2,6",0,0,1,4,0,"3,8","3,2"
137_1-1,What do you think about Bostrom's 'simulation argument'?,3,1,1,0,0,"1,6",0,0,2,2,1,"3,8","2,7"
85_2,How does a Lamborghini compare to a Ferrari?,1,0,2,1,1,"3,2",0,0,2,3,0,"3,6","3,4"
132_2-3,"Okay, but how does climate change affect developing countries?",0,0,2,2,1,"3,8",0,2,0,2,1,"3,4","3,6"
83_8,What would happen if the bees died out?,1,0,0,4,0,"3,4",0,1,2,1,1,"3,4","3,4"
91_3,What are the privacy implications of social networks and cloud computing?,0,1,2,1,1,"3,4",0,1,2,1,1,"3,4","3,4"
