Input.turn_id,Input.query,Input.passage_id,Input.passage,Input.relevance_score,chosen_sentences,not_chosen_sentences,empty_annotations
100_8,Show me medicare dentists in Seattle,MARCO_4891202,"General Dentist w/ Great Opportunity. The Dentist has 17 years experience and has been at the office location for nearly 14 years-The Dentist not only provides General Dentistry treatment but has... Easily apply. 7 days ago-save job-email-more... 1  View all Greenlake Dental jobs in Seattle, WA-Seattle jobs.",1,set(),"{'7 days ago-save job-email-more... 1  View all Greenlake Dental jobs in Seattle, WA-Seattle jobs.', 'General Dentist w/ Great Opportunity.', 'Easily apply.', 'The Dentist has 17 years experience and has been at the office location for nearly 14 years-The Dentist not only provides General Dentistry treatment but has...'}",3
100_8,Show me medicare dentists in Seattle,MARCO_5542957,"Whether you want fewer issues with your teeth, fewer trips to the dentist, lower costs, or help finding the best dentist near you, count on Dental Optimizer. Best Dentist Finder The Best Dentist Finder takes your information and matches it with the best dentists near your home or work.",2,"{'Whether you want fewer issues with your teeth, fewer trips to the dentist, lower costs, or help finding the best dentist near you, count on Dental Optimizer.'}",{'Best Dentist Finder The Best Dentist Finder takes your information and matches it with the best dentists near your home or work.'},2
101_2,What did Melania Trump do before she was married?,MARCO_2726211,"Melania Trump. by ethnic on. Birth Name: Melanija Knavs. Place of Birth: Sevnica, Slovenia. Date of Birth: April 26, 1970. Ethnicity: Slovenian. Melania Trump is a Slovenian-born model. She is married to American businessman and politician Donald Trump.",3,"{'Melania Trump.', 'Melania Trump is a Slovenian-born model.'}","{'Birth Name: Melanija Knavs.', 'She is married to American businessman and politician Donald Trump.', 'Date of Birth: April 26, 1970.', 'Ethnicity: Slovenian.', 'by ethnic on.', 'Place of Birth: Sevnica, Slovenia.'}",2
101_7,Does the public pay the First Lady of the United States?,CAR_d97b7f529ae29fbdec97503dc3dd6cc77fce66f8,"The position of the First Lady is not an elected one and carries only ceremonial duties. Nonetheless, first ladies have held a highly visible position in American society. The role of the First Lady has evolved over the centuries. She is, first and foremost, the hostess of the White House. She organizes and attends official ceremonies and functions of state either along with, or in place of, the president. Lisa Burns identifies four successive main themes of the first ladyship: as public woman (1900–1929); as political celebrity (1932–1961); as political activist (1964–1977); and as political interloper (1980–2001).",2,set(),"{'The position of the First Lady is not an elected one and carries only ceremonial duties.', 'The role of the First Lady has evolved over the centuries.', 'She organizes and attends official ceremonies and functions of state either along with, or in place of, the president.', 'She is, first and foremost, the hostess of the White House.', 'Lisa Burns identifies four successive main themes of the first ladyship: as public woman (1900–1929); as political celebrity (1932–1961); as political activist (1964–1977); and as political interloper (1980–2001).', 'Nonetheless, first ladies have held a highly visible position in American society.'}",3
101_9,Does the public pay Jared Kushner?,MARCO_2433061,"This was in part because daddy Charles Kushner was in jail. But now that he has taken on a job as White House advisor to President Trump, Jared Kushner has been forced to step aside from Kushner Companies and his father Charles Kushner is stepping back in.",1,set(),"{'But now that he has taken on a job as White House advisor to President Trump, Jared Kushner has been forced to step aside from Kushner Companies and his father Charles Kushner is stepping back in.', 'This was in part because daddy Charles Kushner was in jail.'}",3
101_9,Does the public pay Jared Kushner?,MARCO_5329405,"$110 Billion Weapons Sale to Saudis Has Jared Kushner's Personal Touch. Jared Kushner, President Trump's son-in-law and senior adviser, picked up the phone during a meeting with Saudi officials and called the chief executive of Lockheed Martin.",1,set(),"{""Jared Kushner, President Trump's son-in-law and senior adviser, picked up the phone during a meeting with Saudi officials and called the chief executive of Lockheed Martin."", ""$110 Billion Weapons Sale to Saudis Has Jared Kushner's Personal Touch.""}",3
101_9,Does the public pay Jared Kushner?,MARCO_5347156,"Ivanka Trump and Jared Kushner, President Trump's daughter and son-in-law, will remain the beneficiaries of a sprawling real estate and investment business still worth as much as $740 million, despite their new government responsibilities, according to ethics filings released by the White House Friday night.",1,set(),"{""Ivanka Trump and Jared Kushner, President Trump's daughter and son-in-law, will remain the beneficiaries of a sprawling real estate and investment business still worth as much as $740 million, despite their new government responsibilities, according to ethics filings released by the White House Friday night.""}",3
101_9,Does the public pay Jared Kushner?,MARCO_7394529,"Ivanka Trump's husband wields extraordinary influence in the Trump sphere. Jared Kushner, President Donald Trump's 36-year-old son-in-law, is now serving as a senior adviser in the Trump administration. Though Jared did not have an official role during Trump's campaign, he was nevertheless seen as a de facto campaign manager, and he later served as a member of Trump's transition team.",1,set(),"{""Jared Kushner, President Donald Trump's 36-year-old son-in-law, is now serving as a senior adviser in the Trump administration."", ""Though Jared did not have an official role during Trump's campaign, he was nevertheless seen as a de facto campaign manager, and he later served as a member of Trump's transition team."", ""Ivanka Trump's husband wields extraordinary influence in the Trump sphere.""}",3
101_9,Does the public pay Jared Kushner?,MARCO_876678,"This time around, though, it is Jared Kushner, son of Charles, and husband to Ivanka Trump. The younger Kushner has emerged as one of Trump's most trusted advisers and a power broker inside what has been a tumultuous transition process.",1,set(),"{'This time around, though, it is Jared Kushner, son of Charles, and husband to Ivanka Trump.', ""The younger Kushner has emerged as one of Trump's most trusted advisers and a power broker inside what has been a tumultuous transition process.""}",3
102_2,Was social security mandatory?,MARCO_1843594,"In 1935, President Franklin Roosevelt signed the Social Security Act. This new federal legislature started the collecting of taxes in 1937. Since then, working citizens across the United States began paying into social security in order to have a form of guaranteed income once they reached retirement age. The Social Security Act was initially meant to be a form of basic retirement for working individuals. However, in 1939, an amendment was made to the act that allowed spouses and/or children to begin receiving social security survivor benefits if a parent or spouse was deceased and qualified for social security income.",3,set(),"{'The Social Security Act was initially meant to be a form of basic retirement for working individuals.', 'This new federal legislature started the collecting of taxes in 1937.', 'In 1935, President Franklin Roosevelt signed the Social Security Act.', 'However, in 1939, an amendment was made to the act that allowed spouses and/or children to begin receiving social security survivor benefits if a parent or spouse was deceased and qualified for social security income.', 'Since then, working citizens across the United States began paying into social security in order to have a form of guaranteed income once they reached retirement age.'}",3
102_4,When did the government start borrowing from social security?,CAR_994a1672ba9d98458e8598543469c88da71c5211,"The accumulated surpluses are invested in special non-marketable Treasury securities (treasuries) issued by the U.S. government, which are deposited in the Social Security Trust Fund. At the end of 2009, the Trust Fund stood at $2.5 trillion. The $2.5 trillion amount owed by the federal government to the Social Security Trust Fund is also a component of the U.S. National Debt, which stood at $15.7 trillion as of May 2012. By 2019, the government is expected to have borrowed nearly $3.8 trillion against the Social Security Trust Fund.",3,set(),"{'At the end of 2009, the Trust Fund stood at $2.5 trillion.', 'The $2.5 trillion amount owed by the federal government to the Social Security Trust Fund is also a component of the U.S. National Debt, which stood at $15.7 trillion as of May 2012.', 'The accumulated surpluses are invested in special non-marketable Treasury securities (treasuries) issued by the U.S. government, which are deposited in the Social Security Trust Fund.', 'By 2019, the government is expected to have borrowed nearly $3.8 trillion against the Social Security Trust Fund.'}",3
102_4,When did the government start borrowing from social security?,CAR_5d3dd3bef1093801659f4a99f53812493e8f4681,"Along with strong backing from traditional Democrats and liberals, Clinton was able to garner the support of moderates who appreciated his centrist 'New Democrat' policies, which steered away from the expansion of government services of the New Deal and Great Society and allowed him to 'triangulate', taking away many of the Republicans' top issues. One example of such compromises was welfare reform legislation signed into law in 1996. The new law required welfare recipients to work as a condition of benefits and imposed limits on how long individuals may receive payments, but did allow states to exempt 20% of their caseloads from the time limits. Clinton also pursued tough federal anti-crime measures, steering more federal dollars toward the war on drugs, and calling for the hiring of 100,000 new police officers. Compromise came with difficulty, though, as the parties failed to agree on a budget, causing the federal government to shut down in late 1995 into early 1996. By the end of his administration, the federal government had experienced the country's longest economic expansion and produced a budget surplus. The first year of the budget surplus was also the first year since 1969 in which the federal government did not borrow from the Social Security Trust Fund.",3,{'The first year of the budget surplus was also the first year since 1969 in which the federal government did not borrow from the Social Security Trust Fund.'},"{'One example of such compromises was welfare reform legislation signed into law in 1996.', 'Clinton also pursued tough federal anti-crime measures, steering more federal dollars toward the war on drugs, and calling for the hiring of 100,000 new police officers.', ""Along with strong backing from traditional Democrats and liberals, Clinton was able to garner the support of moderates who appreciated his centrist 'New Democrat' policies, which steered away from the expansion of government services of the New Deal and Great Society and allowed him to 'triangulate', taking away many of the Republicans' top issues."", 'The new law required welfare recipients to work as a condition of benefits and imposed limits on how long individuals may receive payments, but did allow states to exempt 20% of their caseloads from the time limits.', ""By the end of his administration, the federal government had experienced the country's longest economic expansion and produced a budget surplus."", 'Compromise came with difficulty, though, as the parties failed to agree on a budget, causing the federal government to shut down in late 1995 into early 1996.'}",2
102_4,When did the government start borrowing from social security?,CAR_f9c1a9a4d755f48b2e00b8f6a1d448e3e6f09142,"However, the funds from loans made have been spent along with other revenues in the general funds in satisfying annual budgets. At some point, however, absent any change in the law, the Social Security Administration will finance payment of benefits through the net redemption of the assets in the Trust Fund. Because those assets consist solely of U.S. government securities, their redemption will represent a call on the federal government's general fund, which for decades has been borrowing the Trust Fund's surplus and applying it to its expenses to partially satisfy budget deficits. To finance such a projected call on the general fund, some combination of increasing taxes, cutting other government spending or programs, selling government assets, or borrowing would be required.",3,"{""Because those assets consist solely of U.S. government securities, their redemption will represent a call on the federal government's general fund, which for decades has been borrowing the Trust Fund's surplus and applying it to its expenses to partially satisfy budget deficits.""}","{'To finance such a projected call on the general fund, some combination of increasing taxes, cutting other government spending or programs, selling government assets, or borrowing would be required.', 'At some point, however, absent any change in the law, the Social Security Administration will finance payment of benefits through the net redemption of the assets in the Trust Fund.', 'However, the funds from loans made have been spent along with other revenues in the general funds in satisfying annual budgets.'}",2
103_1,Why were the Grateful Dead such an influential live band?,CAR_1a126d799b10ffa7359f7acd0824c0dbdb90a1e5,"Max Creek was formed in 1971, with Dave Reed on acoustic guitar, John Rider on electric bass and Bob Gosselin on drums. The band originally played country music. In 1972, Dave Reed invited one of his music students, 15-year-old Scott Murawski, to sit in with the band. Scott's early original association with the band ended abruptly when he was banned from a club that the band played at regularly for drinking a beer. A few months later Dave Reed came down with appendicitis, so Mark Mercier was brought in on keyboards and Scott was invited back to play guitar. Due to the influence of the Grateful Dead, the band decided to incorporate more improvisation into the music becoming more electrified. The music of the psychedelic era had a heavy influence on the band, leading to a  sound and style more like that of the Grateful Dead and the rest of the San Francisco Bay scene. Eventually, Dave left the band to pursue country rock and acoustic ragtime music, leaving the band's line up as John, Bob, Scott and Mark.",4,"{'Due to the influence of the Grateful Dead, the band decided to incorporate more improvisation into the music becoming more electrified.', 'The music of the psychedelic era had a heavy influence on the band, leading to a  sound and style more like that of the Grateful Dead and the rest of the San Francisco Bay scene.'}","{'In 1972, Dave Reed invited one of his music students, 15-year-old Scott Murawski, to sit in with the band.', ""Scott's early original association with the band ended abruptly when he was banned from a club that the band played at regularly for drinking a beer."", 'Max Creek was formed in 1971, with Dave Reed on acoustic guitar, John Rider on electric bass and Bob Gosselin on drums.', ""Eventually, Dave left the band to pursue country rock and acoustic ragtime music, leaving the band's line up as John, Bob, Scott and Mark."", 'The band originally played country music.', 'A few months later Dave Reed came down with appendicitis, so Mark Mercier was brought in on keyboards and Scott was invited back to play guitar.'}",2
103_3,Did the Grateful Dead have a number one hit?,CAR_f5c6233668e19fb1ff9c57b3a5299e6bc3a7bb01,"Playing in the Band' received a good amount of airplay, and became one of the Dead's most played songs in concerts. The closing segue of 'Not Fade Away' into 'Goin' Down The Road Feeling Bad' also received airplay and became a fan favorite.",1,set(),"{""The closing segue of 'Not Fade Away' into 'Goin' Down The Road Feeling Bad' also received airplay and became a fan favorite."", ""Playing in the Band' received a good amount of airplay, and became one of the Dead's most played songs in concerts.""}",3
103_3,Did the Grateful Dead have a number one hit?,CAR_75e7bb5d120993c03a00371775ef6c4ed913fa61,"On February 11, 13, and 14, 1970, the Grateful Dead — along with the Allman Brothers Band and Love — performed at Bill Graham's Fillmore East auditorium in New York City.  The February 13 and February 14 Dead shows were widely regarded as among the band's best concerts, even before the release of Dick's Picks Volume 4.  In addition to the evidence offered by Bear's Choice, high quality soundboard bootlegs of the concerts had been in circulation for quite some time.  In a 1993 poll of Grateful Dead tape traders, based on the concert recordings then in circulation, the 2/13/70 show was ranked #2 on the list of all-time favorite Dead tapes, and 2/14/70 was #17.  (The May 8, 1977 concert at Cornell University's Barton Hall received the top ranking.)  The same poll rated the 2/13/70 versions of 'Dark Star', 'The Other One', and 'Turn On Your Love Light' as the best ever.  (The 'Dark Star' played on August 27, 1972, in Veneta, Oregon, was ranked #2.  The February 27, 1969 version from the Fillmore West, included in Live/Dead, was #9.)",1,"{""The same poll rated the 2/13/70 versions of 'Dark Star', 'The Other One', and 'Turn On Your Love Light' as the best ever.""}","{""(The May 8, 1977 concert at Cornell University's Barton Hall received the top ranking.)"", ""(The 'Dark Star' played on August 27, 1972, in Veneta, Oregon, was ranked #2."", 'In a 1993 poll of Grateful Dead tape traders, based on the concert recordings then in circulation, the 2/13/70 show was ranked #2 on the list of all-time favorite Dead tapes, and 2/14/70 was #17.', ""In addition to the evidence offered by Bear's Choice, high quality soundboard bootlegs of the concerts had been in circulation for quite some time."", ""On February 11, 13, and 14, 1970, the Grateful Dead — along with the Allman Brothers Band and Love — performed at Bill Graham's Fillmore East auditorium in New York City."", 'The February 27, 1969 version from the Fillmore West, included in Live/Dead, was #9.)', ""The February 13 and February 14 Dead shows were widely regarded as among the band's best concerts, even before the release of Dick's Picks Volume 4.""}",2
